Date,Temperature,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather,Weather Description,Weather Icon,Rain,Snow
2022-11-01 00:00:00-07:00,41.58,1008,94,4.0,100,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 01:00:00-07:00,41.63,1007,95,3.0,50,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 02:00:00-07:00,40.19,1007,95,5.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 03:00:00-07:00,40.05,1007,94,1.01,86,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 04:00:00-07:00,39.52,1007,95,5.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 05:00:00-07:00,39.76,1006,95,5.99,60,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 06:00:00-07:00,39.69,1006,94,4.9,57,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 07:00:00-07:00,39.33,1006,95,4.0,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-01 08:00:00-07:00,39.63,1006,94,5.01,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 09:00:00-07:00,39.79,1006,95,5.99,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 10:00:00-07:00,41.61,1009,94,5.99,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 11:00:00-07:00,44.01,1006,91,5.01,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 12:00:00-07:00,46.31,1006,84,5.99,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 13:00:00-07:00,48.63,1005,75,4.0,130,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 14:00:00-07:00,47.93,1005,76,5.01,280,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 15:00:00-07:00,48.02,1004,76,5.99,250,94,Clouds,overcast clouds,04d,0.0,0.0
2022-11-01 16:00:00-07:00,48.42,1004,73,5.99,250,78,Clouds,broken clouds,04d,0.0,0.0
2022-11-01 17:00:00-07:00,46.89,1004,75,5.01,316,67,Clouds,broken clouds,04d,0.0,0.0
2022-11-01 18:00:00-07:00,44.55,1005,80,4.0,265,9,Clear,clear sky,01n,0.0,0.0
2022-11-01 19:00:00-07:00,41.45,1005,87,3.0,3,20,Clouds,few clouds,02n,0.0,0.0
2022-11-01 20:00:00-07:00,40.23,1006,90,4.0,342,17,Clouds,few clouds,02n,0.0,0.0
2022-11-01 21:00:00-07:00,39.42,1005,92,3.0,325,15,Clouds,few clouds,02n,0.0,0.0
2022-11-01 22:00:00-07:00,39.18,1006,91,3.0,354,14,Clouds,few clouds,02n,0.0,0.0
2022-11-01 23:00:00-07:00,38.53,1006,92,3.0,333,12,Clouds,few clouds,02n,0.0,0.0
2022-11-02 00:00:00-07:00,37.35,1006,92,2.3,0,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-02 01:00:00-07:00,36.61,1006,94,2.3,10,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-02 02:00:00-07:00,37.17,1007,93,3.29,17,86,Clouds,overcast clouds,04n,0.0,0.0
2022-11-02 03:00:00-07:00,37.38,1007,92,3.0,319,89,Clouds,overcast clouds,04n,0.0,0.0
2022-11-02 04:00:00-07:00,37.06,1008,92,1.99,351,92,Clouds,overcast clouds,04n,0.0,0.0
2022-11-02 05:00:00-07:00,36.32,1009,92,1.01,101,93,Clouds,overcast clouds,04n,0.0,0.0
2022-11-02 06:00:00-07:00,36.14,1010,94,6.91,90,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-02 07:00:00-07:00,36.34,1010,94,5.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
